contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received
CONT_AWD_SPE4A725C0082_9700_-NONE-_-NONE-,SPE4A725C0082,1077600.0,1077600.0,2025-04-10,2025,Department of Defense,Defense Logistics Agency,Y1M9BKYLXL58,SEAL DYNAMICS LLC,HEICO CORP,SUFFOLK,NY,NEW YORK,DEFINITIVE CONTRACT,"8511244486!FILTER ELEMENT,AIR",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725C0119_9700_-NONE-_-NONE-,SPE4A725C0119,3130560.0,3130560.0,2025-07-11,2025,Department of Defense,Defense Logistics Agency,W3Z7M1CSK8V8,AVOX SYSTEMS INC,ZMFH,ERIE,NY,NEW YORK,DEFINITIVE CONTRACT,"8511460795!PARTS KIT,REGULATOR",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F0053_9700_SPE4A724D0164_9700,SPE4A725F0053,738550.8,738550.8,2024-10-02,2025,Department of Defense,Defense Logistics Agency,MYE5L662RU13,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ROANOKE,VA,VIRGINIA,DELIVERY ORDER,"8510932977!IMAGE INTENSIFIER,N",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F0700_9700_SPE4A724D0164_9700,SPE4A725F0700,738550.8,738550.8,2024-10-21,2025,Department of Defense,Defense Logistics Agency,MYE5L662RU13,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ROANOKE,VA,VIRGINIA,DELIVERY ORDER,"8510968550!IMAGE INTENSIFIER,N",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F1221_9700_SPE4A723D0122_9700,SPE4A725F1221,250471.0,250471.0,2024-11-14,2025,Department of Defense,Defense Logistics Agency,SV84KFR7BLA3,FRAZIER AVIATION INC,FRAZIER AVIATION INC,LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,"8511016175!DUCT ASSEMBLY,BLEED",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,,
CONT_AWD_SPE4A725F1509_9700_SPRPA121GCF01_9700,SPE4A725F1509,436707.32,436707.32,2024-11-15,2025,Department of Defense,Defense Logistics Agency,JHFZTG8ZC9V2,BELL BOEING JOINT PROJECT OFFICE,BELL BOEING JOINT PROJECT OFFICE,DELAWARE,PA,PENNSYLVANIA,DELIVERY ORDER,"8511019851!FAN,RCU COOLING,AIR",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F1631_9700_SPE4AX17D9402_9700,SPE4A725F1631,428428.36,428428.36,2024-11-20,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511032308!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F1684_9700_SPE4A621D5005_9700,SPE4A725F1684,785859.0,785859.0,2024-11-25,2025,Department of Defense,Defense Logistics Agency,JXBJK7KZBLF9,"ACRON AVIATION, INC.","L3HARRIS TECHNOLOGIES, INC",KENT,MI,MICHIGAN,DELIVERY ORDER,"8511039096!INTERFACE UNIT,COMM",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F1762_9700_SPE4A724DC001_9700,SPE4A725F1762,944817.5,944817.5,2024-12-02,2025,Department of Defense,Defense Logistics Agency,Y1M9BKYLXL58,SEAL DYNAMICS LLC,HEICO CORP,SUFFOLK,NY,NEW YORK,DELIVERY ORDER,"8511049950!BEACON,SONAR",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED UNDER SAP,,
CONT_AWD_SPE4A725F2459_9700_SPE4A725D0018_9700,SPE4A725F2459,886400.0,886400.0,2024-12-17,2025,Department of Defense,Defense Logistics Agency,J73QK4BTYJJ6,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",MARICOPA,AZ,ARIZONA,DELIVERY ORDER,8511082814!IMAGE INTENSIFIER T,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F2511_9700_SPE4AX17D9402_9700,SPE4A725F2511,785608.24,785608.24,2025-02-03,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511086360!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F2678_9700_SPE4A725D0018_9700,SPE4A725F2678,886400.0,886400.0,2025-01-13,2025,Department of Defense,Defense Logistics Agency,J73QK4BTYJJ6,"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.",MARICOPA,AZ,ARIZONA,DELIVERY ORDER,8511108388!IMAGE INTENSIFIER T,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F3034_9700_SPE4A122G0010_9700,SPE4A725F3034,431617.32,431617.32,2025-01-21,2025,Department of Defense,Defense Logistics Agency,E3HYKKLT5ZT1,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,ESSEX,MA,MASSACHUSETTS,DELIVERY ORDER,"8511130972!SHROUD,STATOR",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F3043_9700_SPE4A725D0060_9700,SPE4A725F3043,1918064.07,1918064.07,2025-01-20,2025,Department of Defense,Defense Logistics Agency,MYE5L662RU13,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ROANOKE,VA,VIRGINIA,DELIVERY ORDER,"8511132633!MOUNT,VIEWER",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,
CONT_AWD_SPE4A725F3136_9700_SPE4A122G0010_9700,SPE4A725F3136,1843501.87,1843501.87,2025-02-04,2025,Department of Defense,Defense Logistics Agency,E3HYKKLT5ZT1,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,HAMILTON,OH,OHIO,DELIVERY ORDER,8511142591!ENGINE CONTROL KIT,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,1.0
CONT_AWD_SPE4A725F3300_9700_SPE4A122G0010_9700,SPE4A725F3300,305827.9,305827.9,2025-02-12,2025,Department of Defense,Defense Logistics Agency,E3HYKKLT5ZT1,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,BUTLER,OH,OHIO,DELIVERY ORDER,"8511167219!HOUSING,ANTIFRICTIO",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,NO SET ASIDE USED.,3.0
CONT_AWD_SPE4A725F3528_9700_SPE4AX17D9402_9700,SPE4A725F3528,251271.02,251271.02,2025-02-28,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511186062!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
CONT_AWD_SPE4A725F3720_9700_SPE4A721D0101_9700,SPE4A725F3720,256500.0,256500.0,2025-02-20,2025,Department of Defense,Defense Logistics Agency,LUNKGMZ67XG2,AERO METAL FORMS INC,AERO METAL FORMS INC,SEDGWICK,KS,KANSAS,DELIVERY ORDER,"8511199878!DUCT ASSEMBLY,AIR C",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,
CONT_AWD_SPE4A725F3765_9700_SPE4AX17D9402_9700,SPE4A725F3765,542800.92,542800.92,2025-03-24,2025,Department of Defense,Defense Logistics Agency,L6ZQZ4B82L63,GENTEX CORP,GENTEX CORP,SAN BERNARDINO,CA,CALIFORNIA,DELIVERY ORDER,"8511205966!MASK,OXYGEN",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,
