contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received,is_drone_related,recipient_parent_name_clean
CONT_AWD_W911QY22F0242_9700_W911QY18D0192_9700,W911QY22F0242,2780192.22,2780192.22,2022-07-13,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,AEROVIRONMENT (AV) FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT: OTHER MAJOR COMPONENTS DOMAIN: LINE REPLACEABLE UNITS (LRUS) 20,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY22F0341_9700_W911QY18D0192_9700,W911QY22F0341,378414.62,378414.62,2022-09-21,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,"FULL SPECTRUM OF SMALL UNMANNED AIRCRAFT SYSTEM (UAS) AND PARTS REQUIRED TO SUPPORT THE TACTICAL UAS PRODUCT OFFICE IN THE CONTINENTAL UNITED STATES AND OUTSIDE CONTINENTAL UNITED STATE, AS WELL AS ITS DOMESTIC AND FOREIGN CUSTOMERS.",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,9.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY23F00A7_9700_W911QY18D0192_9700,W911QY23F00A7,944127.67,944127.67,2023-04-10,2023,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,PUMA LRU 23,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY23F0135_9700_W911QY18D0192_9700,W911QY23F0135,2910935.15,2910935.15,2023-04-12,2023,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,SMALL UNMANNED AIRCRAFT SYSTEMS PARTS UNDER THE SUAS SYSTEMS AND PARTS IDIQ CONTRACT ARE NEEDED TO REPLENISH THE REPAIR PARTS INVENTORY TO ENSURE UNINTERRUPTED SUSTAINMENT OF THE SUAS FLEET.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,9.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY23F0139_9700_W911QY18D0192_9700,W911QY23F0139,473540.2,473540.2,2023-04-13,2023,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,SMALL UNMANNED AIRCRAFT SYSTEMS PARTS UNDER THE SUAS SYSTEMS AND PARTS IDIQ CONTRACT ARE NEEDED TO REPLENISH THE REPAIR PARTS INVENTORY TO ENSURE UNINTERRUPTED SUSTAINMENT OF THE SUAS FLEET.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,9.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911S723P0050_9700_-NONE-_-NONE-,W911S723P0050,606045.03,606045.03,2023-09-29,2023,Department of Defense,Department of the Army,VN5DYE5D4EG6,TRIGENT SOLUTIONS INC,TRIGENT SOLUTIONS INC,HARDIN,KY,KENTUCKY,PURCHASE ORDER,DRONE BUNDLES WITH ADDITONAL PARTS,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,8(A) SOLE SOURCE,1.0,True,TRIGENT SOLUTIONS INC
CONT_AWD_W91CRB25F0067_9700_W91CRB24D0011_9700,W91CRB25F0067,55484704.02,55484704.02,2024-12-16,2025,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DELIVERY ORDER,"DELIVERY ORDER TO PURCHASE 330 SWITCHBLADE 600 ALL-UP ROUNDS WITH SELECTIVE AVAILABILITY ANTI-SPOOFING MODULE, COLOR-TAN.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_W91CRB25F0094_9700_W91CRB24D0011_9700,W91CRB25F0094,218119135.12,220119135.12,2025-01-17,2025,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DELIVERY ORDER,"LOITERED MUNITIONS, SWITCHBLADE 300 AND 600 ALL UP ROUNDS",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_W91CRB25F0148_9700_W91CRB24D0011_9700,W91CRB25F0148,4578266.2,5128266.2,2025-03-14,2025,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DELIVERY ORDER,"LOITERED MUNITIONS - SWITCHBLADE 300 AND 600 ALL-UP-ROUNDS, PLUS SUPPORT EQUIPMENT, TRAINING, FOREIGN MILITARY SUPPORT AND LOT ACCEPTANCE TESTING.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"AEROVIRONMENT, INC"
CONT_AWD_FA239625PB089_9700_-NONE-_-NONE-,FA239625PB089,1649880.0,1649880.0,2025-08-07,2025,Department of Defense,Department of the Air Force,PUT4KUNBLDS5,"SRCTEC, LLC","SRCTEC, LLC",GREENE,OH,OHIO,PURCHASE ORDER,"AFRL/DO REQUIRES A RADAR SENSOR THAT SUPPORTS SITUATIONAL AWARENESS OF BOTH SMALL UNMANNED AERIAL SYSTEMS (SUAS) AND LARGE UAS, AS WELL AS MANNED AIR TRAFFIC, TO ENHANCE FLIGHT TEST OPERATIONS AT THE SKYVISION TEST SITE.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,NO SET ASIDE USED.,6.0,True,"SRCTEC, LLC"
CONT_AWD_N6133125F0129_9700_N6133125D1001_9700,N6133125F0129,2579436.0,2895697.0,2025-08-11,2025,Department of Defense,Department of the Navy,WN18KN7KQLG9,"HII UNMANNED SYSTEMS, INC","HII UNMANNED SYSTEMS, INC",BARNSTABLE,MA,MASSACHUSETTS,DELIVERY ORDER,"SERVICES FOR TROUBLESHOOTING, MAINTENANCE, REPAIR, OPERATIONAL, TECHNICAL AND DEPOT LEVEL SUPPORT FOR THE MK18 UNMANNED UNDERWATER VEHICLE FAMILY OF SYSTEMS PER THE IDIQ BASIC IN SUPPORT OF PMS-408. REFERENCE QUOTE #A-2025-189, DATED 25 JUNE 2025.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,"HII UNMANNED SYSTEMS, INC"
CONT_AWD_W50RAJ25C0004_9700_-NONE-_-NONE-,W50RAJ25C0004,250000.0,250000.0,2025-08-13,2025,Department of Defense,Department of the Army,TBW7MGPYURM7,"AXON ENTERPRISE, INC.","AXON ENTERPRISE, INC.",FAIRFAX,VA,VIRGINIA,DEFINITIVE CONTRACT,JCO DEMO 6 PRIZE MONEY-DEDRONE,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",FULL AND OPEN COMPETITION,NO SET ASIDE USED.,47.0,True,"AXON ENTERPRISE, INC"
CONT_AWD_H9227725FE012_9700_H9227725DE001_9700,H9227725FE012,1260250.0,1330000.0,2025-08-14,2025,Department of Defense,U.S. Special Operations Command,X16VPBRQ3959,DEEP ELEMENT TECHNOLOGIES,DEEP ELEMENT TECHNOLOGIES,,,,DELIVERY ORDER,PURPOSE: DEEP ELEMENT RAZE AND SARAB DRONE SYSTEMS H9227725DE001POP: 01 AUG 25 TO 31 JUL 26,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,DEEP ELEMENT TECHNOLOGIES
CONT_AWD_W911S725PA012_9700_-NONE-_-NONE-,W911S725PA012,326218.32,326218.32,2025-08-19,2025,Department of Defense,Department of the Army,LTBJCLHYL5S9,"SKYDIO, INC","SKYDIO, INC",PULASKI,MO,MISSOURI,PURCHASE ORDER,PURCHASE 18 SKYDIO X2D DRONE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,"SKYDIO, INC"
CONT_AWD_FA239625PB103_9700_-NONE-_-NONE-,FA239625PB103,565000.0,565000.0,2025-08-22,2025,Department of Defense,Department of the Air Force,JQ5AQAEPBHA7,LIGHTHOUSE AVIONICS INC.,LIGHTHOUSE AVIONICS INC.,GREENE,OH,OHIO,PURCHASE ORDER,"AFRL/DO REQUIRES A CAMERA ARRAY SYSTEM TO ENHANCE SITUATIONAL AWARENESS AND SUPPORT FLIGHT TEST OPERATIONS FOR MONITORING SMALL UNMANNED AERIAL SYSTEMS (SUAS), LARGE UAS, AND MANNED AIRCRAFT AT THE SKYVISION TEST SITE.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,7.0,True,LIGHTHOUSE AVIONICS INC
CONT_AWD_N0016425FJ608_9700_N0016425GJR96_9700,N0016425FJ608,39596289.0,39596289.0,2025-08-25,2025,Department of Defense,Department of the Navy,L11HMGGGWD46,"PLATFORM SYSTEMS, INCORPORATED","SABRE SYSTEMS, INC.",SAINT MARYS,MD,MARYLAND,DELIVERY ORDER,VANILLA UAS AND ASSOCIATED EQUIPMENT AND TRAINING,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,"SABRE SYSTEMS, INC"
CONT_AWD_FA852725F0007_9700_FA852724D0034_9700,FA852725F0007,2602119.0,2602119.0,2025-08-27,2025,Department of Defense,Department of the Air Force,JEGFV3LWEJH7,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS TECHNOLOGIES, INC",MONROE,NY,NEW YORK,DELIVERY ORDER,ENTERPRISE IMAGE QUALITY VERIFICATION PROGRAM (EIQVP) GLOBAL HAWK (GH),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_FA485525P0060_9700_-NONE-_-NONE-,FA485525P0060,297500.0,297500.0,2025-08-29,2025,Department of Defense,Department of the Air Force,JC6XP8B7EC51,"NEROS, INC.","NEROS, INC.",CURRY,NM,NEW MEXICO,PURCHASE ORDER,"GROUP 1 UAS MODULAR PAYLOAD (SWAPPABLE BATTERIES, CAMERAS, ENGINES, FCG) UNDER 10 LBS QUAD ROTOR (SWAPPABLE) NO PROPRIETARY SYSTEMS THAT WILL STOP CHANGES IN FIELD CONTROLLERS SENSORS SPARE PARTS KITS BATTERY PACKS GOGGLES",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,"NEROS, INC"
CONT_AWD_H9224025PE045_9700_-NONE-_-NONE-,H9224025PE045,503000.0,503000.0,2025-08-29,2025,Department of Defense,U.S. Special Operations Command,JC6XP8B7EC51,"NEROS, INC.","NEROS, INC.",LOS ANGELES,CA,CALIFORNIA,PURCHASE ORDER,NEROS ARCHER UAS FIRST PERSON VIEW,336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0,True,"NEROS, INC"
CONT_AWD_FA868925FB010_9700_FA868925DB001_9700,FA868925FB010,210272291.37,1273933354.89,2025-09-08,2025,Department of Defense,Department of the Air Force,ZH4NVFG3Z526,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.","GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,IRIS DELIVERY ORDER (DO) 1 FOR INDIA MQ-9B FMS,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,,,True,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC"
CONT_AWD_N6660425P0618_9700_-NONE-_-NONE-,N6660425P0618,5100000.0,5100000.0,2025-09-09,2025,Department of Defense,Department of the Navy,DVCCRKABAQX4,C2 ROBOTICS PTY LTD,C2 ROBOTICS PTY LTD,,,,PURCHASE ORDER,"SPEARTOOTH LARGE UNMANNED UNDERWATER VEHICLES, SPARES KITS, BATTERY PACKS.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0,True,C2 ROBOTICS PTY LTD
CONT_AWD_W31P4Q25F0260_9700_W31P4Q20D0032_9700,W31P4Q25F0260,2438727.75,2438727.25,2025-09-10,2025,Department of Defense,Department of the Army,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"PROCURE SPARES FOR LATVIA IN SUPPORT OF THE BALTICS INTEGRATED AIR AND MISSILE DEFENSE (IAMD) OF THE CUAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS LIDS) PROGRAM.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_FA448425P0043_9700_-NONE-_-NONE-,FA448425P0043,254883.17,254883.17,2025-09-12,2025,Department of Defense,Department of the Air Force,GJMSFBCNMSK3,"ATLANTIC DIVING SUPPLY, INC.","ATLANTIC DIVING SUPPLY, INC.",BURLINGTON,NJ,NEW JERSEY,PURCHASE ORDER,DRONES AND DOCKING SYSTEM.,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,6.0,True,"ATLANTIC DIVING SUPPLY, INC"
CONT_AWD_W911S225FA239_9700_W911S225AA090_9700,W911S225FA239,267500.0,267500.0,2025-09-16,2025,Department of Defense,Department of the Army,JC6XP8B7EC51,"NEROS, INC.","NEROS, INC.",CHATTAHOOCHEE,GA,GEORGIA,BPA CALL,S2P2: UAS SOLICITATION # W911S225U1782,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True,"NEROS, INC"
CONT_AWD_H9240225FE005_9700_H9240221D0001_9700,H9240225FE005,6078888.0,6078888.0,2025-09-17,2025,Department of Defense,U.S. Special Operations Command,ZKE9UNL1NYF3,L3HARRIS NEXGEN COMMUNICATIONS LLC,"L3HARRIS TECHNOLOGIES, INC",LOUDOUN,VA,VIRGINIA,DELIVERY ORDER,CUAS SAM A-KITS,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",FULL AND OPEN COMPETITION,,,True,"L3HARRIS TECHNOLOGIES, INC"
CONT_AWD_N6133125F0185_9700_N6133125D1001_9700,N6133125F0185,383151.12,383151.12,2025-09-19,2025,Department of Defense,Department of the Navy,WN18KN7KQLG9,"HII UNMANNED SYSTEMS, INC","HII UNMANNED SYSTEMS, INC",BARNSTABLE,MA,MASSACHUSETTS,DELIVERY ORDER,MK18 UNMANNED UNDERWATER VEHICLE SYSTEM PARTS PURCHASE.,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,"HII UNMANNED SYSTEMS, INC"
CONT_AWD_W912D025PA012_9700_-NONE-_-NONE-,W912D025PA012,329564.25,329564.25,2025-09-19,2025,Department of Defense,Department of the Army,TENRPZGMAGJ6,W S DARLEY & CO,W S DARLEY & CO,ANCHORAGE,AK,ALASKA,PURCHASE ORDER,"11TH AIRBORNE DIVISION G3, JBER IS REQUESTING PARROT ANAFI UKR SMALL UAS ACQUISITION (DRONES) FOR ARMY MISSION SUCCESS",336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,4.0,True,W S DARLEY & CO
CONT_AWD_FA700025P0082_9700_-NONE-_-NONE-,FA700025P0082,699998.2,699998.2,2025-09-23,2025,Department of Defense,Department of the Air Force,Y8N8G7DG3928,"ASTRIUM, INC.","ASTRIUM, INC.",JEFFERSON,CO,COLORADO,PURCHASE ORDER,THIS EFFORT IS TO SUCCESSFULLY DEVELOP AND DEMONSTRATE A SOLAR-POWERED SMALL UNMANNED AIRCRAFT SYSTEM (SUAS) ELECTRONIC WARFARE (EW) PLATFORM.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,1.0,True,"ASTRIUM, INC"
CONT_AWD_N0001925P1000_9700_-NONE-_-NONE-,N0001925P1000,1480410.0,1480410.0,2025-09-22,2025,Department of Defense,Department of the Navy,XLXNP2L8TM65,"REDWIRE DEFENSE TECH SLO, LLC","REDWIRE DEFENSE TECH SLO, LLC",SAN LUIS OBISPO,CA,CALIFORNIA,PURCHASE ORDER,"THE PURPOSE OF THIS PURCHASE ORDER IS TO PROCURE A VXE30 STALKER UNMANNED AERIAL VEHICLE (UAV), ASSOCIATED HARDWARE, AND TRAINING IN SUPPORT OF THE GUYANA DEFENCE FORCE, FOREIGN MILITARY SALES (FMS) CASE GU-P-LAG.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0,True,"REDWIRE DEFENSE TECH SLO, LLC"
CONT_AWD_W911S225FA246_9700_W911S225AA095_9700,W911S225FA246,2670615.0,2670615.0,2025-09-22,2025,Department of Defense,Department of the Army,S115PZ54S9M6,PERFORMANCE DRONE WORKS LLC,PERFORMANCE DRONE WORKS LLC,CHATTAHOOCHEE,GA,GEORGIA,BPA CALL,S2P2: UAS - SOLICITATION# W911S225U1585,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,2.0,True,PERFORMANCE DRONE WORKS LLC
CONT_AWD_W911S225FA248_9700_W911S225AA086_9700,W911S225FA248,799675.0,799675.0,2025-09-22,2025,Department of Defense,Department of the Army,DC8ZNTAB4AE7,"VANTAGE ROBOTICS, INC.",VANTAGE ROBOTICS  INC.,ALAMEDA,CA,CALIFORNIA,BPA CALL,S2P2: UAS SOLICITATION W911S225U1826,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,3.0,True,VANTAGE ROBOTICS  INC
CONT_AWD_FA701425C0048_9700_-NONE-_-NONE-,FA701425C0048,300000.0,300000.0,2025-09-24,2025,Department of Defense,Department of the Air Force,MNPRJQED9SQ9,CASTALIA SYSTEMS LLC,CASTALIA SYSTEMS LLC,PRINCE GEORGES,MD,MARYLAND,DEFINITIVE CONTRACT,PKA-WESTON-WOODS-C-SUAS DETECTION SERVICES FOR JBA AND JBAB,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,11.0,True,CASTALIA SYSTEMS LLC
CONT_AWD_FA228025C0010_9700_-NONE-_-NONE-,FA228025C0010,4725000.0,4725000.0,2025-09-26,2025,Department of Defense,Department of the Air Force,U719HNLEESB3,EPISYS SCIENCE INC,EPISYS SCIENCE INC,GREENE,OH,OHIO,DEFINITIVE CONTRACT,EPISYS UNMANNED AERIAL VEHICLE KITS SMALL BUSINESS INNOVATION RESEARCH PHASE III,334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,2.0,True,EPISYS SCIENCE INC
CONT_AWD_FA282325P0117_9700_-NONE-_-NONE-,FA282325P0117,1172933.92,1172933.92,2025-09-29,2025,Department of Defense,Department of the Air Force,LKJEXKMNX1K3,DETECT INC,"DETECT, INC.",OKALOOSA,FL,FLORIDA,PURCHASE ORDER,"PURCHASE AND LEASE OF BIRD, DRONE, AND MARITIME SURVEILLANCE SYSTEMS",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,2.0,True,"DETECT, INC"
CONT_AWD_FA700025F0180_9700_GS07F0426X_4732,FA700025F0180,716182.45,716182.45,2025-09-30,2025,Department of Defense,Department of the Air Force,SLPYAA7K9619,DUNCAN-PARNELL INC,DUNCAN-PARNELL INC,MECKLENBURG,NC,NORTH CAROLINA,DELIVERY ORDER,"SMALL UNMANNED AIRCRAFT SYSTEMS (SUAS), COMPONENTS AND TRAINING",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",FULL AND OPEN COMPETITION,SMALL BUSINESS SET ASIDE - TOTAL,1.0,True,DUNCAN-PARNELL INC
CONT_AWD_FA700025P0127_9700_-NONE-_-NONE-,FA700025P0127,750000.0,750000.0,2025-09-30,2025,Department of Defense,Department of the Air Force,P22FX2MVJZL1,TEAL DRONES INC,TEAL DRONES INC,EL PASO,CO,COLORADO,PURCHASE ORDER,74 TEAL 2 DRONES FOR USAFA/A3,336411,AIRCRAFT MANUFACTURING,COMPETED UNDER SAP,SMALL BUSINESS SET ASIDE - TOTAL,4.0,True,TEAL DRONES INC
CONT_AWD_W31P4Q22F0201_9700_W31P4Q20D0032_9700,W31P4Q22F0201,45741518.9,45741518.9,2022-07-20,2022,Department of Defense,Defense Contract Management Agency,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"CONTRACTOR LOGISTICS SUPPORT (CLS), AND PROGRAMMATIC ACTIVITIES IN SUPPORT OF THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS) MANAGED BY THE INTEGRATED FIRES/RAPID CAPABILITIES OFFICE (IF/RCO)",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_W31P4Q23F0053_9700_W31P4Q20D0032_9700,W31P4Q23F0053,37955286.45,37955286.45,2022-12-06,2023,Department of Defense,Department of the Army,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"THIS REQUIREMENT IS TO PROVIDE A NEW TASK ORDER FOR THE PURCHASE OF C-UAS FS-LIDS HARDWARE SYSTEMS IN SUPPORT OF THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS) CONTRACT W31P4Q-20-D-0032.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_W31P4Q23F0081_9700_W31P4Q20D0032_9700,W31P4Q23F0081,3409967.46,3480967.46,2023-02-17,2023,Department of Defense,Defense Contract Management Agency,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"PROVIDE ENGINEERING SUPPORT FOR ENHANCEMENTS FOR THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS) MANAGED BY THE INTEGRATED FIRES/RAPID CAPABILITIES OFFICE (IF/RCO) PROJECT DIRECTORATE (PD).",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_W31P4Q23F0231_9700_W31P4Q20D0032_9700,W31P4Q23F0231,67016437.8,67016437.8,2023-08-30,2023,Department of Defense,Department of the Army,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"PROVIDE ENGINEERING SUPPORT FOR ENHANCEMENTS FOR THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS) MANAGED BY THE INTEGRATED FIRES/RAPID CAPABILITIES OFFICE (IF/RCO) PROJECT DIRECTORATE (PD).",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_W31P4Q24F0060_9700_W31P4Q20D0032_9700,W31P4Q24F0060,9789467.96,9789467.96,2024-02-09,2024,Department of Defense,Department of the Army,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"THIS REQUIREMENT IS TO PROVIDE A NEW TASK ORDER FOR THE PURCHASE OF C-UAS FS-LIDS HARDWARE SYSTEMS IN SUPPORT OF THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS) CONTRACT W31P4Q-20-D-0032.",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
CONT_AWD_W31P4Q24F0096_9700_W31P4Q20D0032_9700,W31P4Q24F0096,3920368.01,3920368.01,2024-03-15,2024,Department of Defense,Department of the Army,DC9UXK381JR5,SRC INC,SRC INC,ONONDAGA,NY,NEW YORK,DELIVERY ORDER,"PROVIDE ENGINEERING SUPPORT FOR ENHANCEMENTS FOR THE C-UAS FIXED SITE LOW, SLOW, SMALL UNMANNED AERIAL VEHICLE INTEGRATED DEFEAT SYSTEM (FS-LIDS)",334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",NOT COMPETED,,,True,SRC INC
