contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,award_base_action_date,award_base_action_date_fiscal_year,awarding_agency_name,awarding_sub_agency_name,recipient_uei,recipient_name,recipient_parent_name,primary_place_of_performance_county_name,primary_place_of_performance_state_code,primary_place_of_performance_state_name,award_type,prime_award_base_transaction_description,naics_code,naics_description,extent_competed,type_of_set_aside,number_of_offers_received,is_drone_related,recipient_parent_name_clean
CONT_AWD_W50RAJ22F0004_9700_47QSWA20D002F_4732,W50RAJ22F0004,659775.44,659775.44,2022-02-28,2022,Department of Defense,Department of the Army,GNGWXM39K171,"RED SIX SOLUTIONS, LLC","RED SIX SOLUTIONS, LLC",ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,JCO DEMO #3 TARGETS/PILOTS COUNTER UNMANNED AERIAL SYSTEMS,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,1.0,True,"RED SIX SOLUTIONS, LLC"
CONT_AWD_W50RAJ22F0018_9700_47QSWA20D002F_4732,W50RAJ22F0018,1017477.56,1017477.56,2022-06-14,2022,Department of Defense,Department of the Army,GNGWXM39K171,"RED SIX SOLUTIONS, LLC","RED SIX SOLUTIONS, LLC",ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,UNMANNED AERIAL SYSTEMS PILOTS AND TARGETS,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,1.0,True,"RED SIX SOLUTIONS, LLC"
CONT_AWD_W50RAJ23F0003_9700_47QSWA20D002F_4732,W50RAJ23F0003,2962265.37,2962265.37,2022-12-02,2023,Department of Defense,Department of the Army,GNGWXM39K171,"RED SIX SOLUTIONS, LLC","RED SIX SOLUTIONS, LLC",ANNE ARUNDEL,MD,MARYLAND,DELIVERY ORDER,UNMANNED AERIAL SYSTEMS PILOTS AND TARGETS,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,1.0,True,"RED SIX SOLUTIONS, LLC"
CONT_AWD_W50RAJ24F0001_9700_47QSWA20D002F_4732,W50RAJ24F0001,2724738.75,2724738.75,2023-12-29,2024,Department of Defense,Department of the Army,GNGWXM39K171,"RED SIX SOLUTIONS, LLC","RED SIX SOLUTIONS, LLC",DONA ANA,NM,NEW MEXICO,DELIVERY ORDER,"UAS PILOT 2024 MATERIALS, LABOR, AND TRAVEL",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,1.0,True,"RED SIX SOLUTIONS, LLC"
CONT_AWD_W51AA125P0058_9700_-NONE-_-NONE-,W51AA125P0058,1364988.38,1364988.38,2025-07-23,2025,Department of Defense,Department of the Army,CWE8BSAB21Y9,ORQA INC,ORQA INC,ALAMEDA,CA,CALIFORNIA,PURCHASE ORDER,DRONE COMPONENT KITS AND TECHNICAL SUPPORT PACKAGE,336411,AIRCRAFT MANUFACTURING,NOT COMPETED UNDER SAP,NO SET ASIDE USED.,1.0,True,ORQA INC
CONT_AWD_W58RGZ22C0021_9700_-NONE-_-NONE-,W58RGZ22C0021,6172242.4,6172242.4,2022-01-21,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",ARLINGTON,VA,VIRGINIA,DEFINITIVE CONTRACT,PROCUREMENT OF PUMA LE,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0023_9700_-NONE-_-NONE-,W58RGZ22C0023,35991165.56,8541428.43,2022-01-27,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",ARLINGTON,VA,VIRGINIA,DEFINITIVE CONTRACT,FMS UZBEKISTAN PUMA AE3.,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0045_9700_-NONE-_-NONE-,W58RGZ22C0045,24931578.5,24673716.25,2022-04-12,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC.",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,RQ-20B PUMA SYSTEMS WITH ASSOCIATED HARDWARE AND NET TRAINING IN SUPPORT OF UKRAINE,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0062_9700_-NONE-_-NONE-,W58RGZ22C0062,9627523.96,0.0,2022-06-30,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC.",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,PROCUREMENT OF PUMA AE 3,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0064_9700_-NONE-_-NONE-,W58RGZ22C0064,2379650.32,0.0,2022-08-02,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC.",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,PROCUREMENT OF PUMA AE 3 SYSTEMS.,336411,AIRCRAFT MANUFACTURING,NOT COMPETED,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0067_9700_-NONE-_-NONE-,W58RGZ22C0067,2361824.0,1180912.0,2022-09-26,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC.",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,PROCUREMENT OF PUMA AE 3.,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ22C0071_9700_-NONE-_-NONE-,W58RGZ22C0071,7650531.25,7650531.25,2022-09-26,2022,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,PUMA DRONE CONTRACT LOGISTICS SUPPORT IN THE PHILIPPINES,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ23C0007_9700_-NONE-_-NONE-,W58RGZ23C0007,323054027.34,0.0,2022-11-09,2023,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,UKRAINE RQ-20B ALL ENVIRONMENT (AE) 3 AND LONG ENDURANCE (LE) PUMA UNMANNED AIRCRAFT SYSTEMS (UAS) ACCESSORIES AND SERVICES IN SUPPORT OF,336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ23C0039_9700_-NONE-_-NONE-,W58RGZ23C0039,18415152.93,18415152.93,2023-07-21,2023,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,"(11) SYSTEM, TOP, C-CODE, M3/M4/M6 NON-NATO, PAL, RSTA, I45, PUMA AE 3 (11) ASSY, TACTICAL LAUNCHER, BASIC, PUMA AE II (11) ASSY, UNIT ISP, DDL, I45, PUMA AE 3",336411,AIRCRAFT MANUFACTURING,NOT AVAILABLE FOR COMPETITION,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W58RGZ23C0040_9700_-NONE-_-NONE-,W58RGZ23C0040,4282913.09,4282913.09,2023-07-21,2023,Department of Defense,Department of the Army,MWKWXVSSC518,"AEROVIRONMENT, INC","AEROVIRONMENT, INC",VENTURA,CA,CALIFORNIA,DEFINITIVE CONTRACT,"TO PROCURE TWO (2) COMMERCIAL PUMA UNMANNED AIRCRAFT SYSTEMS AND SPARES TO INCLUDE CONTRACTOR LOGISTICS SUPPORT, FOR THE COUNTRY OF COSTA RICA.",336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NO SET ASIDE USED.,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W900KK25FA096_9700_W900KK23D0015_9700,W900KK25FA096,6252872.44,6252872.44,2025-07-02,2025,Department of Defense,Department of the Army,GURMFDFLENX4,"KRATOS UNMANNED AERIAL SYSTEMS, INC","KRATOS UNMANNED AERIAL SYSTEMS, INC",OTERO,NM,NEW MEXICO,DELIVERY ORDER,"TO PROVIDE ACCREDITED, THREAT REPRESENTATIVE UNMANNED AERIAL TARGET SYSTEMS FOR USE IN SENSOR PRESENTATIONS OR LIVE FIRE TRACKING AND ENGAGEMENT FOR WEAPON SYSTEMS TESTING.",336411,AIRCRAFT MANUFACTURING,NOT COMPETED,,,True,"KRATOS UNMANNED AERIAL SYSTEMS, INC"
CONT_AWD_W900KK25FA098_9700_W900KK24D0028_9700,W900KK25FA098,1859192.79,1859192.79,2025-06-26,2025,Department of Defense,Department of the Army,LL8SH4DDJSK6,"AEVEX AEROSPACE, LLC","AEVEX AEROSPACE, LLC",SAN DIEGO,CA,CALIFORNIA,DELIVERY ORDER,DELIVERY ORDER FOR SMALL UNMANNED AERIAL COUNTER SYSTEMS.,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,,2.0,True,"AEVEX AEROSPACE, LLC"
CONT_AWD_W911QX22C0012_9700_-NONE-_-NONE-,W911QX22C0012,5830873.43,5861966.0,2022-02-28,2022,Department of Defense,Department of the Army,N5QUZAYGPKM3,BELL TEXTRON INC,TEXTRON INC,TARRANT,TX,TEXAS,DEFINITIVE CONTRACT,HYBRID-ELECTRIC UAS VEHICLE DESIGN,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION,NO SET ASIDE USED.,999.0,True,TEXTRON INC
CONT_AWD_W911QY22F0094_9700_W911QY18D0192_9700,W911QY22F0094,1892974.2,1892974.2,2022-03-25,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT. SPARE AND REPAIR DOMAIN FOR RAVEN (RQ-11B) AND PUMA (RQ-20A).,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY22F0105_9700_W911QY18D0192_9700,W911QY22F0105,1081939.73,1081939.73,2022-03-23,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,AEROVIRONMENT (AV) FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT GIMBAL PAYLOAD,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY22F0107_9700_W911QY18D0192_9700,W911QY22F0107,1736617.6,1736617.6,2022-03-29,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT. SPARE AND REPAIR DOMAIN FOR RAVEN (RQ-11B) AND PUMA (RQ-20A).,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY22F0119_9700_W911QY18D0192_9700,W911QY22F0119,1486504.18,1486504.18,2022-03-30,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,AEROVIRONMENT (AV) FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT GIMBAL PAYLOAD,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
CONT_AWD_W911QY22F0189_9700_W911QY18D0192_9700,W911QY22F0189,1107817.27,1107817.27,2022-07-11,2022,Department of Defense,Department of the Army,YJG1MDHLBC88,"AEROVIRONMENT, INC.","AEROVIRONMENT, INC.",LOS ANGELES,CA,CALIFORNIA,DELIVERY ORDER,AEROVIRONMENT (AV) FAMILY OF SMALL UNMANNED AIRCRAFT SYSTEMS (FOSUAS) PRODUCTS CONTRACT: SPARE AND REPAIR PARTS FOR RQ-11B AND RQ-20A DOMAIN,336411,AIRCRAFT MANUFACTURING,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,1.0,True,"AEROVIRONMENT, INC"
